"discussion_id","comment_id","sentence","comment","A1","A2","A3","A4","A5","total"
"Dd001","#1","The popular idea that single-sex education benefits women comes from anecdotes about female leaders who were educated in an era when elite colleges did not admit them ."," To what extent to we expect college to be preparation for the real world? I experienced some sexism in college, but I thought of it as training for real life. I might have to perform better than men -- or more consistently -- to get the same recognition. But that strikes me as true about working life too. I always thought of women's colleges (especially those nestled in rural areas) as too removed from what you might experience after college. Maybe that's the wrong way to think about it. Maybe college should be a place where nurturing happens, rather than baptism by fire. Anyway, there's something ineffably sad to me about Sweet Briar's closing. It's like a world that's passing away.","0","0","1","0","0","1"
"Dd001","#1","For example , Hillary Clinton attended Wellesley College , but she also graduated from Yale Law School , which was co-ed ."," To what extent to we expect college to be preparation for the real world? I experienced some sexism in college, but I thought of it as training for real life. I might have to perform better than men -- or more consistently -- to get the same recognition. But that strikes me as true about working life too. I always thought of women's colleges (especially those nestled in rural areas) as too removed from what you might experience after college. Maybe that's the wrong way to think about it. Maybe college should be a place where nurturing happens, rather than baptism by fire. Anyway, there's something ineffably sad to me about Sweet Briar's closing. It's like a world that's passing away.","0","0","0","0","0","0"
"Dd001","#2","Sweet Briar Is Fighting an Up-Hill Battle ."," Contrary to the perception that women's higher education institutions are in trouble, the Women's College at Notre Dame of Maryland University is thriving. This past fall, the university welcomed its largest incoming Women's College class in seven years. Over the past five years, the Women's College has seen an 11% growth in enrollment and a 16% growth in retention. The university's retention rate of 85% is significantly higher than the national average of 68%. This boost has not been achieved by lowering admission standards. Rather, the academic profile of the student body has strengthened, as demonstrated by an increase of approximately 60 points in SAT scores over the past three years among incoming freshmen.","0","0","0","0","0","0"
"Dd001","#2","Despite a beautiful campus , dedicated faculty , loyal alumnae and a significant endowment , Sweet Briar College is closing after 114 years ."," Contrary to the perception that women's higher education institutions are in trouble, the Women's College at Notre Dame of Maryland University is thriving. This past fall, the university welcomed its largest incoming Women's College class in seven years. Over the past five years, the Women's College has seen an 11% growth in enrollment and a 16% growth in retention. The university's retention rate of 85% is significantly higher than the national average of 68%. This boost has not been achieved by lowering admission standards. Rather, the academic profile of the student body has strengthened, as demonstrated by an increase of approximately 60 points in SAT scores over the past three years among incoming freshmen.","0","0","0","0","1","1"
"Dd001","#2","Too few students were choosing Sweet Briar , so the college discounted its tuition rate , a move that exacerbated its financial problems but did not succeed in attracting enough students ."," Contrary to the perception that women's higher education institutions are in trouble, the Women's College at Notre Dame of Maryland University is thriving. This past fall, the university welcomed its largest incoming Women's College class in seven years. Over the past five years, the Women's College has seen an 11% growth in enrollment and a 16% growth in retention. The university's retention rate of 85% is significantly higher than the national average of 68%. This boost has not been achieved by lowering admission standards. Rather, the academic profile of the student body has strengthened, as demonstrated by an increase of approximately 60 points in SAT scores over the past three years among incoming freshmen.","1","0","0","0","0","1"
"Dd001","#2","As a small , rural , liberal arts women 's college , Sweet Briar was fighting an up-hill battle against many trends in higher education ."," Contrary to the perception that women's higher education institutions are in trouble, the Women's College at Notre Dame of Maryland University is thriving. This past fall, the university welcomed its largest incoming Women's College class in seven years. Over the past five years, the Women's College has seen an 11% growth in enrollment and a 16% growth in retention. The university's retention rate of 85% is significantly higher than the national average of 68%. This boost has not been achieved by lowering admission standards. Rather, the academic profile of the student body has strengthened, as demonstrated by an increase of approximately 60 points in SAT scores over the past three years among incoming freshmen.","0","0","0","0","0","0"
"Dd001","#2","Although all of these variables probably contributed to the lack of student interest , President James Jones , Jr. acknowledged that declining interest in single-sex education was decisive in its demise ."," Contrary to the perception that women's higher education institutions are in trouble, the Women's College at Notre Dame of Maryland University is thriving. This past fall, the university welcomed its largest incoming Women's College class in seven years. Over the past five years, the Women's College has seen an 11% growth in enrollment and a 16% growth in retention. The university's retention rate of 85% is significantly higher than the national average of 68%. This boost has not been achieved by lowering admission standards. Rather, the academic profile of the student body has strengthened, as demonstrated by an increase of approximately 60 points in SAT scores over the past three years among incoming freshmen.","1","1","1","1","1","5"
"Dd001","#2","Data supports this conclusion : According to the Women 's College Coalition , the number of women 's colleges declined from 230 to little more than 40 in the last half-century ."," Contrary to the perception that women's higher education institutions are in trouble, the Women's College at Notre Dame of Maryland University is thriving. This past fall, the university welcomed its largest incoming Women's College class in seven years. Over the past five years, the Women's College has seen an 11% growth in enrollment and a 16% growth in retention. The university's retention rate of 85% is significantly higher than the national average of 68%. This boost has not been achieved by lowering admission standards. Rather, the academic profile of the student body has strengthened, as demonstrated by an increase of approximately 60 points in SAT scores over the past three years among incoming freshmen.","1","0","1","1","1","4"
"Dd001","#2","By many measures , today 's women are flourishing in higher education and do not need a protected environment to develop their intellectual potential ."," Contrary to the perception that women's higher education institutions are in trouble, the Women's College at Notre Dame of Maryland University is thriving. This past fall, the university welcomed its largest incoming Women's College class in seven years. Over the past five years, the Women's College has seen an 11% growth in enrollment and a 16% growth in retention. The university's retention rate of 85% is significantly higher than the national average of 68%. This boost has not been achieved by lowering admission standards. Rather, the academic profile of the student body has strengthened, as demonstrated by an increase of approximately 60 points in SAT scores over the past three years among incoming freshmen.","0","0","0","0","1","1"
"Dd001","#2","Women are enrolled in higher education at higher rates than men and achieve better grades ."," Contrary to the perception that women's higher education institutions are in trouble, the Women's College at Notre Dame of Maryland University is thriving. This past fall, the university welcomed its largest incoming Women's College class in seven years. Over the past five years, the Women's College has seen an 11% growth in enrollment and a 16% growth in retention. The university's retention rate of 85% is significantly higher than the national average of 68%. This boost has not been achieved by lowering admission standards. Rather, the academic profile of the student body has strengthened, as demonstrated by an increase of approximately 60 points in SAT scores over the past three years among incoming freshmen.","0","0","0","0","0","0"
"Dd001","#2","Young women are at or near parity in many `` traditionally male '' professions including law and medicine ."," Contrary to the perception that women's higher education institutions are in trouble, the Women's College at Notre Dame of Maryland University is thriving. This past fall, the university welcomed its largest incoming Women's College class in seven years. Over the past five years, the Women's College has seen an 11% growth in enrollment and a 16% growth in retention. The university's retention rate of 85% is significantly higher than the national average of 68%. This boost has not been achieved by lowering admission standards. Rather, the academic profile of the student body has strengthened, as demonstrated by an increase of approximately 60 points in SAT scores over the past three years among incoming freshmen.","0","0","0","0","0","0"
"Dd001","#2","While women are still underrepresented in positions of leadership and in some , but not all , math-intensive disciplines , there is no data to support the myth that single-sex colleges prepare women better to become leaders in our co-ed world or that their graduates are more likely to choose math-intensive career options ."," Contrary to the perception that women's higher education institutions are in trouble, the Women's College at Notre Dame of Maryland University is thriving. This past fall, the university welcomed its largest incoming Women's College class in seven years. Over the past five years, the Women's College has seen an 11% growth in enrollment and a 16% growth in retention. The university's retention rate of 85% is significantly higher than the national average of 68%. This boost has not been achieved by lowering admission standards. Rather, the academic profile of the student body has strengthened, as demonstrated by an increase of approximately 60 points in SAT scores over the past three years among incoming freshmen.","0","0","0","0","0","0"
"Dd001","#2","The popular idea that single-sex education benefits women comes from anecdotes about female leaders who were educated in an era when elite colleges did not admit them ."," Contrary to the perception that women's higher education institutions are in trouble, the Women's College at Notre Dame of Maryland University is thriving. This past fall, the university welcomed its largest incoming Women's College class in seven years. Over the past five years, the Women's College has seen an 11% growth in enrollment and a 16% growth in retention. The university's retention rate of 85% is significantly higher than the national average of 68%. This boost has not been achieved by lowering admission standards. Rather, the academic profile of the student body has strengthened, as demonstrated by an increase of approximately 60 points in SAT scores over the past three years among incoming freshmen.","0","0","0","0","0","0"
"Dd001","#2","For example , Hillary Clinton attended Wellesley College , but she also graduated from Yale Law School , which was co-ed ."," Contrary to the perception that women's higher education institutions are in trouble, the Women's College at Notre Dame of Maryland University is thriving. This past fall, the university welcomed its largest incoming Women's College class in seven years. Over the past five years, the Women's College has seen an 11% growth in enrollment and a 16% growth in retention. The university's retention rate of 85% is significantly higher than the national average of 68%. This boost has not been achieved by lowering admission standards. Rather, the academic profile of the student body has strengthened, as demonstrated by an increase of approximately 60 points in SAT scores over the past three years among incoming freshmen.","0","0","0","0","0","0"
"Dd001","#3","Sweet Briar Is Fighting an Up-Hill Battle ."," Is this relevancy conversation about Sweet Briar College, or about same-sex colleges in general? There are quite a few same-sex colleges that are booming with interested applicants each year: Barnard, Smith, Mount Holyoke, and even Wellesley. So come on, we can't use one college as an omen for the others. The real question is why - why did women students stop applying to Sweet Briar specifically? Let's speak about that.","0","1","0","0","0","1"
"Dd001","#3","Despite a beautiful campus , dedicated faculty , loyal alumnae and a significant endowment , Sweet Briar College is closing after 114 years ."," Is this relevancy conversation about Sweet Briar College, or about same-sex colleges in general? There are quite a few same-sex colleges that are booming with interested applicants each year: Barnard, Smith, Mount Holyoke, and even Wellesley. So come on, we can't use one college as an omen for the others. The real question is why - why did women students stop applying to Sweet Briar specifically? Let's speak about that.","0","0","0","0","1","1"
"Dd001","#3","Too few students were choosing Sweet Briar , so the college discounted its tuition rate , a move that exacerbated its financial problems but did not succeed in attracting enough students ."," Is this relevancy conversation about Sweet Briar College, or about same-sex colleges in general? There are quite a few same-sex colleges that are booming with interested applicants each year: Barnard, Smith, Mount Holyoke, and even Wellesley. So come on, we can't use one college as an omen for the others. The real question is why - why did women students stop applying to Sweet Briar specifically? Let's speak about that.","0","1","0","0","0","1"
"Dd001","#3","As a small , rural , liberal arts women 's college , Sweet Briar was fighting an up-hill battle against many trends in higher education ."," Is this relevancy conversation about Sweet Briar College, or about same-sex colleges in general? There are quite a few same-sex colleges that are booming with interested applicants each year: Barnard, Smith, Mount Holyoke, and even Wellesley. So come on, we can't use one college as an omen for the others. The real question is why - why did women students stop applying to Sweet Briar specifically? Let's speak about that.","0","1","1","0","0","2"
"Dd001","#3","Although all of these variables probably contributed to the lack of student interest , President James Jones , Jr. acknowledged that declining interest in single-sex education was decisive in its demise ."," Is this relevancy conversation about Sweet Briar College, or about same-sex colleges in general? There are quite a few same-sex colleges that are booming with interested applicants each year: Barnard, Smith, Mount Holyoke, and even Wellesley. So come on, we can't use one college as an omen for the others. The real question is why - why did women students stop applying to Sweet Briar specifically? Let's speak about that.","1","1","1","1","1","5"
"Dd001","#3","Data supports this conclusion : According to the Women 's College Coalition , the number of women 's colleges declined from 230 to little more than 40 in the last half-century ."," Is this relevancy conversation about Sweet Briar College, or about same-sex colleges in general? There are quite a few same-sex colleges that are booming with interested applicants each year: Barnard, Smith, Mount Holyoke, and even Wellesley. So come on, we can't use one college as an omen for the others. The real question is why - why did women students stop applying to Sweet Briar specifically? Let's speak about that.","1","1","1","1","1","5"
"Dd001","#3","By many measures , today 's women are flourishing in higher education and do not need a protected environment to develop their intellectual potential ."," Is this relevancy conversation about Sweet Briar College, or about same-sex colleges in general? There are quite a few same-sex colleges that are booming with interested applicants each year: Barnard, Smith, Mount Holyoke, and even Wellesley. So come on, we can't use one college as an omen for the others. The real question is why - why did women students stop applying to Sweet Briar specifically? Let's speak about that.","0","0","0","0","0","0"
"Dd001","#3","Women are enrolled in higher education at higher rates than men and achieve better grades ."," Is this relevancy conversation about Sweet Briar College, or about same-sex colleges in general? There are quite a few same-sex colleges that are booming with interested applicants each year: Barnard, Smith, Mount Holyoke, and even Wellesley. So come on, we can't use one college as an omen for the others. The real question is why - why did women students stop applying to Sweet Briar specifically? Let's speak about that.","0","0","0","0","0","0"
"Dd001","#3","Young women are at or near parity in many `` traditionally male '' professions including law and medicine ."," Is this relevancy conversation about Sweet Briar College, or about same-sex colleges in general? There are quite a few same-sex colleges that are booming with interested applicants each year: Barnard, Smith, Mount Holyoke, and even Wellesley. So come on, we can't use one college as an omen for the others. The real question is why - why did women students stop applying to Sweet Briar specifically? Let's speak about that.","0","0","0","0","0","0"
"Dd001","#3","While women are still underrepresented in positions of leadership and in some , but not all , math-intensive disciplines , there is no data to support the myth that single-sex colleges prepare women better to become leaders in our co-ed world or that their graduates are more likely to choose math-intensive career options ."," Is this relevancy conversation about Sweet Briar College, or about same-sex colleges in general? There are quite a few same-sex colleges that are booming with interested applicants each year: Barnard, Smith, Mount Holyoke, and even Wellesley. So come on, we can't use one college as an omen for the others. The real question is why - why did women students stop applying to Sweet Briar specifically? Let's speak about that.","0","0","0","0","0","0"
"Dd001","#3","The popular idea that single-sex education benefits women comes from anecdotes about female leaders who were educated in an era when elite colleges did not admit them ."," Is this relevancy conversation about Sweet Briar College, or about same-sex colleges in general? There are quite a few same-sex colleges that are booming with interested applicants each year: Barnard, Smith, Mount Holyoke, and even Wellesley. So come on, we can't use one college as an omen for the others. The real question is why - why did women students stop applying to Sweet Briar specifically? Let's speak about that.","0","0","0","0","0","0"
"Dd001","#3","For example , Hillary Clinton attended Wellesley College , but she also graduated from Yale Law School , which was co-ed ."," Is this relevancy conversation about Sweet Briar College, or about same-sex colleges in general? There are quite a few same-sex colleges that are booming with interested applicants each year: Barnard, Smith, Mount Holyoke, and even Wellesley. So come on, we can't use one college as an omen for the others. The real question is why - why did women students stop applying to Sweet Briar specifically? Let's speak about that.","0","0","0","0","0","0"
"Dd001","#4","Sweet Briar Is Fighting an Up-Hill Battle ."," Well said and more relevant than all the participants in this discussion.","0","0","0","0","0","0"
"Dd001","#4","Despite a beautiful campus , dedicated faculty , loyal alumnae and a significant endowment , Sweet Briar College is closing after 114 years ."," Well said and more relevant than all the participants in this discussion.","0","0","0","0","0","0"
"Dd001","#4","Too few students were choosing Sweet Briar , so the college discounted its tuition rate , a move that exacerbated its financial problems but did not succeed in attracting enough students ."," Well said and more relevant than all the participants in this discussion.","0","0","0","0","0","0"
"Dd001","#4","As a small , rural , liberal arts women 's college , Sweet Briar was fighting an up-hill battle against many trends in higher education ."," Well said and more relevant than all the participants in this discussion.","0","0","0","0","0","0"
"Dd001","#4","Although all of these variables probably contributed to the lack of student interest , President James Jones , Jr. acknowledged that declining interest in single-sex education was decisive in its demise ."," Well said and more relevant than all the participants in this discussion.","0","0","0","0","0","0"
"Dd001","#4","Data supports this conclusion : According to the Women 's College Coalition , the number of women 's colleges declined from 230 to little more than 40 in the last half-century ."," Well said and more relevant than all the participants in this discussion.","0","0","0","0","0","0"
"Dd001","#4","By many measures , today 's women are flourishing in higher education and do not need a protected environment to develop their intellectual potential ."," Well said and more relevant than all the participants in this discussion.","0","0","0","0","0","0"
"Dd001","#4","Women are enrolled in higher education at higher rates than men and achieve better grades ."," Well said and more relevant than all the participants in this discussion.","0","0","0","0","0","0"
"Dd001","#4","Young women are at or near parity in many `` traditionally male '' professions including law and medicine ."," Well said and more relevant than all the participants in this discussion.","0","0","0","0","0","0"
"Dd001","#4","While women are still underrepresented in positions of leadership and in some , but not all , math-intensive disciplines , there is no data to support the myth that single-sex colleges prepare women better to become leaders in our co-ed world or that their graduates are more likely to choose math-intensive career options ."," Well said and more relevant than all the participants in this discussion.","0","0","0","0","0","0"
"Dd001","#4","The popular idea that single-sex education benefits women comes from anecdotes about female leaders who were educated in an era when elite colleges did not admit them ."," Well said and more relevant than all the participants in this discussion.","0","0","0","0","0","0"
"Dd001","#4","For example , Hillary Clinton attended Wellesley College , but she also graduated from Yale Law School , which was co-ed ."," Well said and more relevant than all the participants in this discussion.","0","0","0","0","0","0"
"Dd001","#5","Sweet Briar Is Fighting an Up-Hill Battle ."," The New York Times ran an article on March 5, on Elaine Pao, on how women in the workplace are judged as bossy or abrasive, if they assert themselves. Other news media add to that that if they don't, they are told they are too quiet and deferential for promotion and responsibility. Some add that women are the worst judges of other women. Having graduated from one women's college (Smith) and now teaching at another (Sweet Briar), I would say that women who have gone to women's colleges do not share these disappointing biases. Assertive women? Women proud and confident to display mastery of a problem, and to argue their perspective over and against that of a superior? These women are common as peas here: we respect them, and expect them. Our students also learn to respect that quiet one - for they know that one may have the sharpest insights, once invited to speak. Of course, not all women should go to women's colleges. And those who do have a range of experiences and come out with diverse strengths and capabilities. And of course there are all sorts of social tensions flaring in any residential campus, all-female or co-ed. But one thing students learn at an all-women's college is to respect other women, in all their diversity.","0","0","0","0","0","0"
"Dd001","#5","Despite a beautiful campus , dedicated faculty , loyal alumnae and a significant endowment , Sweet Briar College is closing after 114 years ."," The New York Times ran an article on March 5, on Elaine Pao, on how women in the workplace are judged as bossy or abrasive, if they assert themselves. Other news media add to that that if they don't, they are told they are too quiet and deferential for promotion and responsibility. Some add that women are the worst judges of other women. Having graduated from one women's college (Smith) and now teaching at another (Sweet Briar), I would say that women who have gone to women's colleges do not share these disappointing biases. Assertive women? Women proud and confident to display mastery of a problem, and to argue their perspective over and against that of a superior? These women are common as peas here: we respect them, and expect them. Our students also learn to respect that quiet one - for they know that one may have the sharpest insights, once invited to speak. Of course, not all women should go to women's colleges. And those who do have a range of experiences and come out with diverse strengths and capabilities. And of course there are all sorts of social tensions flaring in any residential campus, all-female or co-ed. But one thing students learn at an all-women's college is to respect other women, in all their diversity.","0","0","0","0","0","0"
"Dd001","#5","Too few students were choosing Sweet Briar , so the college discounted its tuition rate , a move that exacerbated its financial problems but did not succeed in attracting enough students ."," The New York Times ran an article on March 5, on Elaine Pao, on how women in the workplace are judged as bossy or abrasive, if they assert themselves. Other news media add to that that if they don't, they are told they are too quiet and deferential for promotion and responsibility. Some add that women are the worst judges of other women. Having graduated from one women's college (Smith) and now teaching at another (Sweet Briar), I would say that women who have gone to women's colleges do not share these disappointing biases. Assertive women? Women proud and confident to display mastery of a problem, and to argue their perspective over and against that of a superior? These women are common as peas here: we respect them, and expect them. Our students also learn to respect that quiet one - for they know that one may have the sharpest insights, once invited to speak. Of course, not all women should go to women's colleges. And those who do have a range of experiences and come out with diverse strengths and capabilities. And of course there are all sorts of social tensions flaring in any residential campus, all-female or co-ed. But one thing students learn at an all-women's college is to respect other women, in all their diversity.","0","0","0","0","0","0"
"Dd001","#5","As a small , rural , liberal arts women 's college , Sweet Briar was fighting an up-hill battle against many trends in higher education ."," The New York Times ran an article on March 5, on Elaine Pao, on how women in the workplace are judged as bossy or abrasive, if they assert themselves. Other news media add to that that if they don't, they are told they are too quiet and deferential for promotion and responsibility. Some add that women are the worst judges of other women. Having graduated from one women's college (Smith) and now teaching at another (Sweet Briar), I would say that women who have gone to women's colleges do not share these disappointing biases. Assertive women? Women proud and confident to display mastery of a problem, and to argue their perspective over and against that of a superior? These women are common as peas here: we respect them, and expect them. Our students also learn to respect that quiet one - for they know that one may have the sharpest insights, once invited to speak. Of course, not all women should go to women's colleges. And those who do have a range of experiences and come out with diverse strengths and capabilities. And of course there are all sorts of social tensions flaring in any residential campus, all-female or co-ed. But one thing students learn at an all-women's college is to respect other women, in all their diversity.","0","0","0","0","0","0"
"Dd001","#5","Although all of these variables probably contributed to the lack of student interest , President James Jones , Jr. acknowledged that declining interest in single-sex education was decisive in its demise ."," The New York Times ran an article on March 5, on Elaine Pao, on how women in the workplace are judged as bossy or abrasive, if they assert themselves. Other news media add to that that if they don't, they are told they are too quiet and deferential for promotion and responsibility. Some add that women are the worst judges of other women. Having graduated from one women's college (Smith) and now teaching at another (Sweet Briar), I would say that women who have gone to women's colleges do not share these disappointing biases. Assertive women? Women proud and confident to display mastery of a problem, and to argue their perspective over and against that of a superior? These women are common as peas here: we respect them, and expect them. Our students also learn to respect that quiet one - for they know that one may have the sharpest insights, once invited to speak. Of course, not all women should go to women's colleges. And those who do have a range of experiences and come out with diverse strengths and capabilities. And of course there are all sorts of social tensions flaring in any residential campus, all-female or co-ed. But one thing students learn at an all-women's college is to respect other women, in all their diversity.","0","0","0","0","0","0"
"Dd001","#5","Data supports this conclusion : According to the Women 's College Coalition , the number of women 's colleges declined from 230 to little more than 40 in the last half-century ."," The New York Times ran an article on March 5, on Elaine Pao, on how women in the workplace are judged as bossy or abrasive, if they assert themselves. Other news media add to that that if they don't, they are told they are too quiet and deferential for promotion and responsibility. Some add that women are the worst judges of other women. Having graduated from one women's college (Smith) and now teaching at another (Sweet Briar), I would say that women who have gone to women's colleges do not share these disappointing biases. Assertive women? Women proud and confident to display mastery of a problem, and to argue their perspective over and against that of a superior? These women are common as peas here: we respect them, and expect them. Our students also learn to respect that quiet one - for they know that one may have the sharpest insights, once invited to speak. Of course, not all women should go to women's colleges. And those who do have a range of experiences and come out with diverse strengths and capabilities. And of course there are all sorts of social tensions flaring in any residential campus, all-female or co-ed. But one thing students learn at an all-women's college is to respect other women, in all their diversity.","0","0","0","0","0","0"
"Dd001","#5","By many measures , today 's women are flourishing in higher education and do not need a protected environment to develop their intellectual potential ."," The New York Times ran an article on March 5, on Elaine Pao, on how women in the workplace are judged as bossy or abrasive, if they assert themselves. Other news media add to that that if they don't, they are told they are too quiet and deferential for promotion and responsibility. Some add that women are the worst judges of other women. Having graduated from one women's college (Smith) and now teaching at another (Sweet Briar), I would say that women who have gone to women's colleges do not share these disappointing biases. Assertive women? Women proud and confident to display mastery of a problem, and to argue their perspective over and against that of a superior? These women are common as peas here: we respect them, and expect them. Our students also learn to respect that quiet one - for they know that one may have the sharpest insights, once invited to speak. Of course, not all women should go to women's colleges. And those who do have a range of experiences and come out with diverse strengths and capabilities. And of course there are all sorts of social tensions flaring in any residential campus, all-female or co-ed. But one thing students learn at an all-women's college is to respect other women, in all their diversity.","0","0","0","0","0","0"
"Dd001","#5","Women are enrolled in higher education at higher rates than men and achieve better grades ."," The New York Times ran an article on March 5, on Elaine Pao, on how women in the workplace are judged as bossy or abrasive, if they assert themselves. Other news media add to that that if they don't, they are told they are too quiet and deferential for promotion and responsibility. Some add that women are the worst judges of other women. Having graduated from one women's college (Smith) and now teaching at another (Sweet Briar), I would say that women who have gone to women's colleges do not share these disappointing biases. Assertive women? Women proud and confident to display mastery of a problem, and to argue their perspective over and against that of a superior? These women are common as peas here: we respect them, and expect them. Our students also learn to respect that quiet one - for they know that one may have the sharpest insights, once invited to speak. Of course, not all women should go to women's colleges. And those who do have a range of experiences and come out with diverse strengths and capabilities. And of course there are all sorts of social tensions flaring in any residential campus, all-female or co-ed. But one thing students learn at an all-women's college is to respect other women, in all their diversity.","0","0","0","0","0","0"
